perturbation,level,accuracy
combined_all,0.01,0.9046487873245125
combined_all,0.02,0.9153621398199396
combined_all,0.03,0.8965365703019218
combined_all,0.04,0.8971304368482315
combined_all,0.05,0.8976174074162054
combined_all,0.06,0.8472575242891417
combined_all,0.07,0.890989856759389
combined_all,0.08,0.8947074613392878
combined_all,0.09,0.8816423973204741
combined_all,0.1,0.8800864669691427
combined_all,0.11,0.8396679098273037
combined_all,0.12,0.8565812290662043
combined_all,0.13,0.8691118131933392
combined_all,0.14,0.8695512744376084
combined_all,0.15,0.8684823146542509
combined_all,0.16,0.8712853647528327
combined_all,0.17,0.866653205691617
combined_all,0.18,0.8685892106325867
combined_all,0.19,0.8616766040335416
combined_all,0.2,0.8358909185927739
combined_all,0.21,0.8484927667054659
combined_all,0.22,0.8479345321519348
combined_all,0.23,0.8528279924935268
combined_all,0.24,0.8207473216618761
combined_all,0.25,0.8548115067582013
