level,accuracy
0.01,0.7612876542358861
0.02,0.7943061970083408
0.03,0.8390432205142345
0.04,0.7725236092920659
0.05,0.8191218032673881
0.06,0.771351761218722
0.07,0.8091955607637692
0.08,0.6577967737487936
0.09,0.7184118011994209
0.10,0.7645964017370924
0.11,0.7465876189163105
0.12,0.6797876740659038
0.13,0.6608533811263528
0.14,0.6675398083683739
0.15,0.5707589439580892
0.16,0.604535741366237
0.17,0.6685048597228924
0.18,0.62011442751775
0.19,0.6458261528917074
0.20,0.6797408147790722
0.21,0.6767544464359575
0.22,0.6243192941338664
0.23,0.5169228648238782
0.24,0.5214034603984283
0.25,0.5085481869571212
